peak.relative.intensity	compound.id	ms.level	ms.mode	peak.mztheo	peak.comp	peak.attr	chrom.col.name	chrom.rt	formula	molecular.mass	name	chrom.rt.unit	accession
50	J89	1	neg	198.063372	P9Z7W411 Na O3 18O	[(M-H)+(HCOONa)]- (18O)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	259.154926	P92Z12W421 O3 18O	[(2M-H)]- (18O)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	129.068738	P90Z6W410 15N O2	[(M-H)]- (15N)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	196.059128	P9Z7W411 Na O4	[(M-H)+(HCOONa)]-	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	187.033681	U513C H10 Cl N Na O2	[(M-H)+(NaCl)]- (13C)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	277.116977	P92Z12W418 Na O4	[(2M-2H+Na)-(H2)]-	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	484.098257	U1413P92ZW423 Na4 O10	[(2M-2H+Na)+3(HCOONa)]- (13C)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	264.046553	P9Z8W412 Na2 O6	[(M-H)+2(HCOONa)]-	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	128.071703	P9Z6W410 O2	[(M-H)]-	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	258.154037	U1113P92ZW421 O4	[(2M-H)]- (13C)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	483.094902	P92Z15W423 Na4 O10	[(2M-2H+Na)+3(HCOONa)]-	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	498.180976	P93Z19W431 Na3 O8	[(3M-3H+2Na)+(HCOONa)]-	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	347.120052	P92Z13W421 Na2 O6	[(2M-2H+Na)+(HCOONa)]-	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	431.196906	U1713P93ZW430 Na2 O6	[(3M-3H+2Na)]- (13C)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	333.037333	U813P9ZW413 Na3 O8	[(M-H)+3(HCOONa)]- (13C)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	130.075947	P9Z6W410 O 18O	[(M-H)]- (18O)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	416.110832	U1313P92ZW422 Na3 O8	[(2M-2H+Na)+2(HCOONa)]- (13C)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	187.027361	U6H10 Cl N0 15N Na O2	[(M-H)+(NaCl)]- (15N)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	174.077183	P9Z7W412 O4	[(M-H)+(HCOOH)]-	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	490.149224	U18H30 Cl0 37Cl N3 Na3 O6	[(3M-3H+2Na)+(NaCl)]- (37Cl)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	186.030326	U6H10 Cl N Na O2	[(M-H)+(NaCl)]-	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	280.135982	U1113P92ZW420 Na O4	[(2M-2H+Na)]- (13C)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	266.050797	P9Z8W412 Na2 O5 18O	[(M-H)+2(HCOONa)]- (18O)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	188.027376	U6H10 Cl0 37Cl N Na O2	[(M-H)+(NaCl)]- (37Cl)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	265.049908	U713P9ZW412 Na2 O6	[(M-H)+2(HCOONa)]- (13C)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	129.075058	U513P9ZW410 O2	[(M-H)]- (13C)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	348.123407	U1213P92ZW421 Na2 O6	[(2M-2H+Na)+(HCOONa)]- (13C)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	189.030731	U513C H10 Cl0 37Cl N Na O2	[(M-H)+(NaCl)]- (13C) (37Cl)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	257.150682	P92Z12W421 O4	[(2M-H)]-	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	255.135032	P92Z12W419 O4	[(2M-H)-(H2)]-	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	338.094605	U1113C H20 Cl N2 Na2 O4	[(2M-2H+Na)+(NaCl)]- (13C)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
